,tailnum,manufacturer,model,seats
0,N10156,EMBRAER,EMB-145XR,55
1,N102UW,AIRBUS INDUSTRIE,A320-214,182
2,N103US,AIRBUS INDUSTRIE,A320-214,182
3,N104UW,AIRBUS INDUSTRIE,A320-214,182
4,N10575,EMBRAER,EMB-145LR,55
5,N105UW,AIRBUS INDUSTRIE,A320-214,182
6,N107US,AIRBUS INDUSTRIE,A320-214,182
7,N108UW,AIRBUS INDUSTRIE,A320-214,182
8,N109UW,AIRBUS INDUSTRIE,A320-214,182
9,N110UW,AIRBUS INDUSTRIE,A320-214,182
10,N11106,EMBRAER,EMB-145XR,55
11,N11107,EMBRAER,EMB-145XR,55
12,N11109,EMBRAER,EMB-145XR,55
13,N11113,EMBRAER,EMB-145XR,55
14,N11119,EMBRAER,EMB-145XR,55
15,N11121,EMBRAER,EMB-145XR,55
16,N11127,EMBRAER,EMB-145XR,55
17,N11137,EMBRAER,EMB-145XR,55
18,N11140,EMBRAER,EMB-145XR,55
19,N11150,EMBRAER,EMB-145XR,55
20,N11155,EMBRAER,EMB-145XR,55
21,N11164,EMBRAER,EMB-145XR,55
22,N11165,EMBRAER,EMB-145XR,55
23,N11176,EMBRAER,EMB-145XR,55
24,N11181,EMBRAER,EMB-145XR,55
25,N11184,EMBRAER,EMB-145XR,55
26,N11187,EMBRAER,EMB-145XR,55
27,N11189,EMBRAER,EMB-145XR,55
28,N11191,EMBRAER,EMB-145XR,55
29,N11192,EMBRAER,EMB-145XR,55
30,N11193,EMBRAER,EMB-145XR,55
31,N11194,EMBRAER,EMB-145XR,55
32,N11199,EMBRAER,EMB-145XR,55
33,N111US,AIRBUS INDUSTRIE,A320-214,182
34,N11206,BOEING,737-824,149
35,N112US,AIRBUS INDUSTRIE,A320-214,182
36,N113UW,AIRBUS INDUSTRIE,A320-214,182
37,N114UW,AIRBUS INDUSTRIE,A320-214,182
38,N11535,EMBRAER,EMB-145LR,55
39,N11536,EMBRAER,EMB-145LR,55
40,N11539,EMBRAER,EMB-145LR,55
41,N11544,EMBRAER,EMB-145LR,55
42,N11547,EMBRAER,EMB-145LR,55
43,N11548,EMBRAER,EMB-145LR,55
44,N11551,EMBRAER,EMB-145LR,55
45,N11565,EMBRAER,EMB-145LR,55
46,N117UW,AIRBUS INDUSTRIE,A320-214,182
47,N118US,AIRBUS INDUSTRIE,A320-214,182
48,N119US,AIRBUS INDUSTRIE,A320-214,182
49,N1200K,BOEING,767-332,330
50,N1201P,BOEING,767-332,330
51,N12109,BOEING,757-224,178
52,N12114,BOEING,757-224,178
53,N12116,BOEING,757-224,178
54,N12122,EMBRAER,EMB-145XR,55
55,N12125,BOEING,757-224,178
56,N12126,EMBRAER,EMB-145XR,55
57,N12135,EMBRAER,EMB-145XR,55
58,N12136,EMBRAER,EMB-145XR,55
59,N12142,EMBRAER,EMB-145XR,55
60,N12145,EMBRAER,EMB-145XR,55
61,N12157,EMBRAER,EMB-145XR,55
62,N12160,EMBRAER,EMB-145XR,55
63,N12163,EMBRAER,EMB-145XR,55
64,N12166,EMBRAER,EMB-145XR,55
65,N12167,EMBRAER,EMB-145XR,55
66,N12172,EMBRAER,EMB-145XR,55
67,N12175,EMBRAER,EMB-145XR,55
68,N12195,EMBRAER,EMB-145XR,55
69,N121DE,BOEING,767-332,330
70,N121UW,AIRBUS INDUSTRIE,A320-214,182
71,N12201,EMBRAER,EMB-145XR,55
72,N12216,BOEING,737-824,149
73,N12218,BOEING,737-824,149
74,N12221,BOEING,737-824,149
75,N12225,BOEING,737-824,149
76,N12238,BOEING,737-824,149
77,N122US,AIRBUS INDUSTRIE,A320-214,182
78,N123UW,AIRBUS INDUSTRIE,A320-214,182
79,N124US,AIRBUS INDUSTRIE,A320-214,182
80,N12540,EMBRAER,EMB-145LR,55
81,N12552,EMBRAER,EMB-145LR,55
82,N12563,EMBRAER,EMB-145LR,55
83,N12564,EMBRAER,EMB-145LR,55
84,N12567,EMBRAER,EMB-145LR,55
85,N12569,EMBRAER,EMB-145LR,55
86,N125UW,AIRBUS,A320-214,182
87,N126UW,AIRBUS,A320-214,182
88,N127UW,AIRBUS,A320-214,182
89,N128UW,AIRBUS,A320-214,182
90,N12900,EMBRAER,EMB-145LR,55
91,N12921,EMBRAER,EMB-145LR,55
92,N12922,EMBRAER,EMB-145LR,55
93,N12924,EMBRAER,EMB-145LR,55
94,N12957,EMBRAER,EMB-145LR,55
95,N12967,EMBRAER,EMB-145LR,55
96,N12996,EMBRAER,EMB-145LR,55
97,N13110,BOEING,757-224,178
98,N13113,BOEING,757-224,178
99,N13118,EMBRAER,EMB-145XR,55
100,N13123,EMBRAER,EMB-145XR,55
101,N13124,EMBRAER,EMB-145XR,55
102,N13132,EMBRAER,EMB-145XR,55
103,N13133,EMBRAER,EMB-145XR,55
104,N13138,BOEING,757-224,178
105,N13161,EMBRAER,EMB-145XR,55
106,N131EV,BOMBARDIER INC,CL-600-2D24,95
107,N13202,EMBRAER,EMB-145XR,55
108,N13248,BOEING,737-824,149
109,N132EV,BOMBARDIER INC,CL-600-2D24,95
110,N133EV,BOMBARDIER INC,CL-600-2D24,95
111,N134EV,BOMBARDIER INC,CL-600-2D24,95
112,N13538,EMBRAER,EMB-145LR,55
113,N13550,EMBRAER,EMB-145LR,55
114,N13553,EMBRAER,EMB-145LR,55
115,N13566,EMBRAER,EMB-145LR,55
116,N135EV,BOMBARDIER INC,CL-600-2D24,95
117,N136DL,BOEING,767-332,330
118,N136EV,BOMBARDIER INC,CL-600-2D24,95
119,N13716,BOEING,737-724,149
120,N13718,BOEING,737-724,149
121,N13750,BOEING,737-724,149
122,N137DL,BOEING,767-332,330
123,N137EV,BOMBARDIER INC,CL-600-2D24,95
124,N138EV,BOMBARDIER INC,CL-600-2D24,95
125,N13903,EMBRAER,EMB-145LR,55
126,N13908,EMBRAER,EMB-145LR,55
127,N13913,EMBRAER,EMB-145LR,55
128,N13914,EMBRAER,EMB-145LR,55
129,N13949,EMBRAER,EMB-145LR,55
130,N13955,EMBRAER,EMB-145LR,55
131,N13956,EMBRAER,EMB-145LR,55
132,N13958,EMBRAER,EMB-145LR,55
133,N13964,EMBRAER,EMB-145LR,55
134,N13965,EMBRAER,EMB-145LR,55
135,N13968,EMBRAER,EMB-145LR,55
136,N13969,EMBRAER,EMB-145LR,55
137,N13970,EMBRAER,EMB-145LR,55
138,N13975,EMBRAER,EMB-145LR,55
139,N13978,EMBRAER,EMB-145LR,55
140,N13979,EMBRAER,EMB-145LR,55
141,N13988,EMBRAER,EMB-145LR,55
142,N13989,EMBRAER,EMB-145LR,55
143,N13992,EMBRAER,EMB-145LR,55
144,N13994,EMBRAER,EMB-145LR,55
145,N13995,EMBRAER,EMB-145LR,55
146,N13997,EMBRAER,EMB-145LR,55
147,N14102,BOEING,757-224,178
148,N14105,EMBRAER,EMB-145XR,55
149,N14106,BOEING,757-224,178
150,N14107,BOEING,757-224,178
151,N14115,BOEING,757-224,178
152,N14116,EMBRAER,EMB-145XR,55
153,N14117,EMBRAER,EMB-145XR,55
154,N14118,BOEING,757-224,178
155,N14120,BOEING,757-224,178
156,N14121,BOEING,757-224,178
157,N14125,EMBRAER,EMB-145XR,55
158,N14143,EMBRAER,EMB-145XR,55
159,N14148,EMBRAER,EMB-145XR,55
160,N14153,EMBRAER,EMB-145XR,55
161,N14158,EMBRAER,EMB-145XR,55
162,N14162,EMBRAER,EMB-145XR,55
163,N14168,EMBRAER,EMB-145XR,55
164,N14171,EMBRAER,EMB-145XR,55
165,N14173,EMBRAER,EMB-145XR,55
166,N14174,EMBRAER,EMB-145XR,55
167,N14177,EMBRAER,EMB-145XR,55
168,N14179,EMBRAER,EMB-145XR,55
169,N14180,EMBRAER,EMB-145XR,55
170,N14186,EMBRAER,EMB-145XR,55
171,N14188,EMBRAER,EMB-145XR,55
172,N14198,EMBRAER,EMB-145XR,55
173,N14203,EMBRAER,EMB-145XR,55
174,N14204,EMBRAER,EMB-145XR,55
175,N14214,BOEING,737-824,149
176,N14219,BOEING,737-824,149
177,N14228,BOEING,737-824,149
178,N14230,BOEING,737-824,149
179,N14231,BOEING,737-824,149
180,N14237,BOEING,737-824,149
181,N14242,BOEING,737-824,149
182,N14250,BOEING,737-824,149
183,N143DA,BOEING,767-332,330
184,N14542,EMBRAER,EMB-145LR,55
185,N14543,EMBRAER,EMB-145LR,55
186,N14558,EMBRAER,EMB-145LR,55
187,N14562,EMBRAER,EMB-145LR,55
188,N14568,EMBRAER,EMB-145LR,55
189,N14570,EMBRAER,EMB-145LR,55
190,N14573,EMBRAER,EMB-145LR,55
191,N14629,BOEING,737-524,149
192,N146PQ,BOMBARDIER INC,CL-600-2D24,95
193,N14704,BOEING,737-724,149
194,N14731,BOEING,737-724,149
195,N147PQ,BOMBARDIER INC,CL-600-2D24,95
196,N14902,EMBRAER,EMB-145LR,55
197,N14904,EMBRAER,EMB-145LR,55
198,N14905,EMBRAER,EMB-145LR,55
199,N14907,EMBRAER,EMB-145LR,55
200,N14916,EMBRAER,EMB-145LR,55
201,N14920,EMBRAER,EMB-145LR,55
202,N14923,EMBRAER,EMB-145LR,55
203,N14950,EMBRAER,EMB-145LR,55
204,N14952,EMBRAER,EMB-145LR,55
205,N14953,EMBRAER,EMB-145LR,55
206,N14959,EMBRAER,EMB-145LR,55
207,N14960,EMBRAER,EMB-145LR,55
208,N14972,EMBRAER,EMB-145LR,55
209,N14974,EMBRAER,EMB-145LR,55
210,N14977,EMBRAER,EMB-145LR,55
211,N14991,EMBRAER,EMB-145LR,55
212,N14993,EMBRAER,EMB-145LR,55
213,N14998,EMBRAER,EMB-145LR,55
214,N1501P,BOEING,767-3P6,290
215,N150UW,AIRBUS,A321-211,199
216,N151UW,AIRBUS,A321-211,199
217,N152DL,BOEING,767-3P6,290
218,N152UW,AIRBUS,A321-211,199
219,N153DL,BOEING,767-3P6,290
220,N153PQ,BOMBARDIER INC,CL-600-2D24,95
221,N153UW,AIRBUS,A321-211,199
222,N154DL,BOEING,767-3P6,290
223,N154UW,AIRBUS,A321-211,199
224,N15555,EMBRAER,EMB-145LR,55
225,N15572,EMBRAER,EMB-145LR,55
226,N15574,EMBRAER,EMB-145LR,55
227,N155DL,BOEING,767-3P6,290
228,N155UW,AIRBUS,A321-211,199
229,N156DL,BOEING,767-3P6,290
230,N156UW,AIRBUS,A321-211,199
231,N15710,BOEING,737-724,149
232,N15712,BOEING,737-724,149
233,N157UW,AIRBUS,A321-211,199
234,N15910,EMBRAER,EMB-145LR,55
235,N15912,EMBRAER,EMB-145LR,55
236,N15973,EMBRAER,EMB-145LR,55
237,N15980,EMBRAER,EMB-145LR,55
238,N15983,EMBRAER,EMB-145LR,55
239,N15985,EMBRAER,EMB-145LR,55
240,N15986,EMBRAER,EMB-145LR,55
241,N1602,BOEING,767-332,330
242,N1603,BOEING,767-332,330
243,N1604R,BOEING,767-332,330
244,N1605,BOEING,767-332,330
245,N16065,BOEING,767-332,330
246,N1607B,BOEING,767-332,330
247,N1608,BOEING,767-332,330
248,N1609,BOEING,767-332,330
249,N1610D,BOEING,767-332,330
250,N16112,EMBRAER,EMB-145XR,55
251,N1611B,BOEING,767-332,330
252,N1612T,BOEING,767-332,330
253,N1613B,BOEING,767-332,330
254,N16147,EMBRAER,EMB-145XR,55
255,N16149,EMBRAER,EMB-145XR,55
256,N16151,EMBRAER,EMB-145XR,55
257,N16170,EMBRAER,EMB-145XR,55
258,N16178,EMBRAER,EMB-145XR,55
259,N16183,EMBRAER,EMB-145XR,55
260,N161PQ,BOMBARDIER INC,CL-600-2D24,95
261,N161UW,AIRBUS INDUSTRIE,A321-211,199
262,N16217,BOEING,737-824,149
263,N16234,BOEING,737-824,149
264,N162PQ,BOMBARDIER INC,CL-600-2D24,95
265,N162UW,AIRBUS INDUSTRIE,A321-211,199
266,N163US,AIRBUS INDUSTRIE,A321-211,199
267,N16541,EMBRAER,EMB-145LR,55
268,N16546,EMBRAER,EMB-145LR,55
269,N16559,EMBRAER,EMB-145LR,55
270,N16561,EMBRAER,EMB-145LR,55
271,N16571,EMBRAER,EMB-145LR,55
272,N165US,AIRBUS INDUSTRIE,A321-211,199
273,N166PQ,BOMBARDIER INC,CL-600-2D24,95
274,N16701,BOEING,737-724,149
275,N16703,BOEING,737-724,149
276,N16709,BOEING,737-724,149
