,aircraft_id,seat_id,travelclass_id
0,A1,S1,B
1,A1,S2,B
2,A1,S3,B
3,A1,S4,B
4,A1,S5,B
5,A1,S6,B
6,A1,S7,B
7,A1,S8,B
8,A1,S9,B
9,A1,S10,B
10,A1,S11,B
11,A1,S12,B
12,A1,S13,B
13,A1,S14,B
14,A1,S15,B
15,A1,S16,B
16,A1,S17,B
17,A1,S18,B
18,A1,S19,B
19,A1,S20,B
20,A1,S21,B
21,A1,S22,B
22,A1,S23,B
23,A1,S24,B
24,A1,S25,B
25,A1,S26,B
26,A1,S27,B
27,A1,S28,B
28,A1,S29,B
29,A1,S30,B
30,A1,S31,B
31,A1,S32,B
32,A1,S33,B
33,A1,S34,B
34,A1,S35,B
35,A1,S36,B
36,A1,S37,B
37,A1,S38,B
38,A1,S39,B
39,A1,S40,B
40,A1,S41,B
41,A1,S42,B
42,A1,S43,B
43,A1,S44,B
44,A1,S45,B
45,A1,S46,B
46,A1,S47,B
47,A1,S48,B
48,A1,S49,B
49,A1,S50,B
50,A1,S51,E
51,A1,S52,E
52,A1,S53,E
53,A1,S54,E
54,A1,S55,E
55,A1,S56,E
56,A1,S57,E
57,A1,S58,E
58,A1,S59,E
59,A1,S60,E
60,A1,S61,E
61,A1,S62,E
62,A1,S63,E
63,A1,S64,E
64,A1,S65,E
65,A1,S66,E
66,A1,S67,E
67,A1,S68,E
68,A1,S69,E
69,A1,S70,E
70,A1,S71,E
71,A1,S72,E
72,A1,S73,E
73,A1,S74,E
74,A1,S75,E
75,A1,S76,E
76,A1,S77,E
77,A1,S78,E
78,A1,S79,E
79,A1,S80,E
80,A1,S81,E
81,A1,S82,E
82,A1,S83,E
83,A1,S84,E
84,A1,S85,E
85,A1,S86,E
86,A1,S87,E
87,A1,S88,E
88,A1,S89,E
89,A1,S90,E
90,A1,S91,E
91,A1,S92,E
92,A1,S93,E
93,A1,S94,E
94,A1,S95,E
95,A1,S96,E
96,A1,S97,E
97,A1,S98,E
98,A1,S99,E
99,A1,S100,E
100,A1,S101,E
101,A1,S102,E
102,A1,S103,E
103,A1,S104,E
104,A1,S105,E
105,A1,S106,E
106,A1,S107,E
107,A1,S108,E
108,A1,S109,E
109,A1,S110,E
110,A1,S111,E
111,A1,S112,E
112,A1,S113,E
113,A1,S114,E
114,A1,S115,E
115,A1,S116,E
116,A1,S117,E
117,A1,S118,E
118,A1,S119,E
119,A1,S120,E
120,A1,S121,E
121,A1,S122,E
122,A1,S123,E
123,A1,S124,E
124,A1,S125,E
125,A1,S126,E
126,A1,S127,E
127,A1,S128,E
128,A1,S129,E
129,A1,S130,E
130,A1,S131,E
131,A1,S132,E
132,A1,S133,E
133,A1,S134,E
134,A1,S135,E
135,A1,S136,E
136,A1,S137,E
137,A1,S138,E
138,A1,S139,E
139,A1,S140,E
140,A1,S141,E
141,A1,S142,E
142,A1,S143,E
143,A1,S144,E
144,A1,S145,E
145,A1,S146,E
146,A1,S147,E
147,A1,S148,E
148,A1,S149,E
149,A1,S150,E
150,A1,S151,E
151,A1,S152,E
152,A1,S153,E
153,A1,S154,E
154,A1,S155,E
155,A1,S156,E
156,A1,S157,E
157,A1,S158,E
158,A1,S159,E
159,A1,S160,E
160,A1,S161,E
161,A1,S162,E
162,A1,S163,E
163,A1,S164,E
164,A1,S165,E
165,A1,S166,E
166,A1,S167,E
167,A1,S168,E
168,A1,S169,E
169,A1,S170,E
170,A1,S171,E
171,A1,S172,E
172,A1,S173,E
173,A1,S174,E
174,A1,S175,E
175,A1,S176,E
176,A1,S177,E
177,A1,S178,E
178,A1,S179,E
179,A1,S180,E
180,A1,S181,E
181,A1,S182,E
182,A1,S183,E
183,A1,S184,E
184,A1,S185,E
185,A1,S186,E
186,A1,S187,E
187,A1,S188,E
188,A1,S189,E
189,A1,S190,E
190,A1,S191,E
191,A1,S192,E
192,A1,S193,E
193,A1,S194,E
194,A1,S195,E
195,A1,S196,E
196,A1,S197,E
197,A1,S198,E
198,A1,S199,E
199,A1,S200,E
200,A1,S201,E
201,A1,S202,E
202,A1,S203,E
203,A1,S204,E
204,A1,S205,E
205,A1,S206,E
206,A1,S207,E
207,A1,S208,E
208,A1,S209,E
209,A1,S210,E
210,A1,S211,E
211,A1,S212,E
212,A1,S213,E
213,A1,S214,E
214,A1,S215,E
215,A1,S216,E
216,A1,S217,E
217,A1,S218,E
218,A1,S219,E
219,A1,S220,E
220,A1,S221,E
221,A1,S222,E
222,A1,S223,E
223,A1,S224,E
224,A1,S225,E
225,A1,S226,E
226,A1,S227,E
227,A1,S228,E
228,A1,S229,E
229,A1,S230,E
230,A1,S231,E
231,A1,S232,E
232,A1,S233,E
233,A1,S234,E
234,A1,S235,E
235,A1,S236,E
236,A1,S237,E
237,A1,S238,E
238,A1,S239,E
239,A1,S240,E
240,A1,S241,E
241,A1,S242,E
242,A1,S243,E
243,A1,S244,E
244,A1,S245,E
245,A1,S246,E
246,A1,S247,E
247,A1,S248,E
248,A1,S249,E
249,A1,S250,E
250,A1,S251,E
251,A1,S252,E
252,A1,S253,E
253,A1,S254,E
254,A1,S255,E
255,A2,S1,B
256,A2,S2,B
257,A2,S3,B
258,A2,S4,B
259,A2,S5,B
260,A2,S6,B
261,A2,S7,B
262,A2,S8,B
263,A2,S9,B
264,A2,S10,B
265,A2,S11,B
266,A2,S12,B
267,A2,S13,B
