,aircraft_id,seat_id,travelclass_id
0,N26545,S1,B
1,N26545,S2,B
2,N26545,S3,B
3,N26545,S4,B
4,N26545,S5,B
5,N26545,S6,B
6,N26545,S7,B
7,N26545,S8,B
8,N26545,S9,B
9,N26545,S10,B
10,N26545,S11,B
11,N26545,S12,B
12,N26545,S13,B
13,N26545,S14,B
14,N26545,S15,B
15,N26545,S16,B
16,N26545,S17,B
17,N26545,S18,B
18,N26545,S19,B
19,N26545,S20,B
20,N26545,S21,B
21,N26545,S22,B
22,N26545,S23,B
23,N26545,S24,B
24,N26545,S25,B
25,N26545,S26,B
26,N26545,S27,B
27,N26545,S28,B
28,N26545,S29,E
29,N26545,S30,E
30,N26545,S31,E
31,N26545,S32,E
32,N26545,S33,E
33,N26545,S34,E
34,N26545,S35,E
35,N26545,S36,E
36,N26545,S37,E
37,N26545,S38,E
38,N26545,S39,E
39,N26545,S40,E
40,N26545,S41,E
41,N26545,S42,E
42,N26545,S43,E
43,N26545,S44,E
44,N26545,S45,E
45,N26545,S46,E
46,N26545,S47,E
47,N26545,S48,E
48,N26545,S49,E
49,N26545,S50,E
50,N26545,S51,E
51,N26545,S52,E
52,N26545,S53,E
53,N26545,S54,E
54,N26545,S55,E
55,N26545,S56,E
56,N26545,S57,E
57,N26545,S58,E
58,N26545,S59,E
59,N26545,S60,E
60,N26545,S61,E
61,N26545,S62,E
62,N26545,S63,E
63,N26545,S64,E
64,N26545,S65,E
65,N26545,S66,E
66,N26545,S67,E
67,N26545,S68,E
68,N26545,S69,E
69,N26545,S70,E
70,N26545,S71,E
71,N26545,S72,E
72,N26545,S73,E
73,N26545,S74,E
74,N26545,S75,E
75,N26545,S76,E
76,N26545,S77,E
77,N26545,S78,E
78,N26545,S79,E
79,N26545,S80,E
80,N26545,S81,E
81,N26545,S82,E
82,N26545,S83,E
83,N26545,S84,E
84,N26545,S85,E
85,N26545,S86,E
86,N26545,S87,E
87,N26545,S88,E
88,N26545,S89,E
89,N26545,S90,E
90,N26545,S91,E
91,N26545,S92,E
92,N26545,S93,E
93,N26545,S94,E
94,N26545,S95,E
95,N26545,S96,E
96,N26545,S97,E
97,N26545,S98,E
98,N26545,S99,E
99,N26545,S100,E
100,N26545,S101,E
101,N26545,S102,E
102,N26545,S103,E
103,N26545,S104,E
104,N26545,S105,E
105,N26545,S106,E
106,N26545,S107,E
107,N26545,S108,E
108,N26545,S109,E
109,N26545,S110,E
110,N26545,S111,E
111,N26545,S112,E
112,N26545,S113,E
113,N26545,S114,E
114,N26545,S115,E
115,N26545,S116,E
116,N26545,S117,E
117,N26545,S118,E
118,N26545,S119,E
119,N26545,S120,E
120,N26545,S121,E
121,N26545,S122,E
122,N26545,S123,E
123,N26545,S124,E
124,N26545,S125,E
125,N26545,S126,E
126,N26545,S127,E
127,N26545,S128,E
128,N26545,S129,E
129,N26545,S130,E
130,N26545,S131,E
131,N26545,S132,E
132,N26545,S133,E
133,N26545,S134,E
134,N26545,S135,E
135,N26545,S136,E
136,N26545,S137,E
137,N26545,S138,E
138,N26545,S139,E
139,N26545,S140,E
140,N26545,S141,E
141,N26545,S142,E
142,N26545,S143,E
143,N26545,S144,E
144,N26545,S145,E
145,N26545,S146,E
146,N26545,S147,E
147,N26545,S148,E
148,N26545,S149,E
149,N882AS,S1,B
150,N882AS,S2,B
151,N882AS,S3,B
152,N882AS,S4,B
153,N882AS,S5,B
154,N882AS,S6,B
155,N882AS,S7,B
156,N882AS,S8,B
157,N882AS,S9,B
158,N882AS,S10,B
159,N882AS,S11,B
160,N882AS,S12,B
161,N882AS,S13,B
162,N882AS,S14,B
163,N882AS,S15,B
164,N882AS,S16,B
165,N882AS,S17,B
166,N882AS,S18,B
167,N882AS,S19,B
168,N882AS,S20,B
169,N882AS,S21,B
170,N882AS,S22,B
171,N882AS,S23,B
172,N882AS,S24,B
173,N882AS,S25,B
174,N882AS,S26,B
175,N882AS,S27,B
176,N882AS,S28,B
177,N882AS,S29,B
178,N882AS,S30,B
179,N882AS,S31,B
180,N882AS,S32,B
181,N882AS,S33,B
182,N882AS,S34,B
183,N882AS,S35,E
184,N882AS,S36,E
185,N882AS,S37,E
186,N882AS,S38,E
187,N882AS,S39,E
188,N882AS,S40,E
