,org_airport,dest_airport,distance
0,ANC,SEA,36.49657518178932
1,LAX,PBI,46.367229807267975
2,SFO,CLT,50.45711049990873
3,LAX,MIA,46.59957081347424
4,SEA,ANC,36.49657518178932
5,SFO,MSP,35.799441336423115
6,LAS,MSP,28.0912797857271
7,LAX,CLT,45.66311421705707
8,SFO,DFW,30.594117081556707
9,LAS,ATL,37.37378760575385
10,DEN,ATL,25.05673562138532
11,LAS,MIA,44.025447186825936
12,LAX,MSP,32.77560068099439
13,SLC,ATL,33.47118163435525
14,SEA,MSP,34.9857113690718
15,SFO,IAH,33.79230681678894
16,ANC,PDX,37.66165158354052
17,PDX,MSP,34.82068350851258
18,LAS,MCI,25.45584412271571
19,SEA,MIA,56.895694037422544
20,LAS,DFW,29.50254226333724
21,LAX,IAH,28.014282071829005
22,FAI,SEA,36.27891949879434
23,MSP,FLL,26.64432397340942
24,LAS,CLT,42.017139360027834
25,DEN,MIA,33.34186557467953
26,PHX,ORD,31.49857139617605
27,PHX,MIA,39.58181400592954
28,LAS,IAH,25.42754412050051
29,LAS,HNL,53.51784749034662
30,ANC,PHX,55.68051723897687
31,PHX,DFW,24.053274205396654
32,IAG,FLL,27.387588429797905
33,PHX,CLT,38.47492690051536
34,ORD,PHX,31.49857139617605
35,GEG,SEA,10.0
36,HNL,ITO,8.485281374238571
37,ONT,SFO,11.661903789690601
38,HNL,KOA,6.708203932499369
39,HNL,OGG,4.242640687119286
40,ORD,IAH,23.075528162969533
41,MCO,MIA,6.324555320336759
42,BOS,MYR,18.24280680158621
43,HIB,MSP,6.324555320336759
44,ABR,MSP,10.198039027185569
45,MAF,IAH,14.560219778561036
46,SEA,PHX,27.527440854536408
47,DFW,MIA,29.415642097360376
48,BOS,MIA,30.77661449867415
49,MKE,IAH,24.422940035957996
50,PDX,PHX,24.992798962901293
51,IAH,MIA,24.83867951401604
52,BNA,DTW,13.416407864998739
53,BRO,IAH,8.94427190999916
54,VPS,ATL,7.211102550927978
55,BOI,SFO,16.97056274847714
56,BJI,MSP,6.324555320336759
57,HNL,LIH,6.0
58,BNA,ATL,7.211102550927978
59,SGF,DFW,12.806248474865697
60,PHL,IAH,26.832815729997478
61,PDX,DEN,30.357865537616444
62,SEA,DEN,31.516344965747535
63,DEN,DFW,19.79898987322333
64,SBN,ORD,3.0
65,PHL,MCO,20.04794253782667
66,ORD,FLL,26.484712571594958
67,RDD,SFO,6.0
68,EUG,DEN,31.4350123270216
69,SFO,DEN,28.977232442039735
70,ORD,DEN,27.387588429797905
71,IAD,IAH,24.149534156997728
72,BUF,JFK,10.770329614269007
73,PWM,JFK,8.48528137423857
74,CRP,IAH,8.485281374238571
75,PIA,DTW,12.649110640673518
76,ORD,DTW,8.246211251235321
77,FAT,LAX,6.324555320336759
78,SMF,DEN,27.247018185482247
79,AUS,LAX,25.45584412271571
80,BOS,BWI,11.661903789690601
81,ORD,BOS,25.649951267010238
82,PHX,DTW,36.43734348165354
83,MCI,ATL,18.659046063504963
84,BOS,DTW,19.200000000000003
85,ATL,IAD,17.204650534085253
86,JAX,EWR,19.530488985173925
87,MFR,DEN,29.197260145431457
88,SLC,IAH,31.06638054231616
89,IDA,DEN,17.88854381999832
90,MSN,DEN,24.83867951401604
91,MKE,DTW,8.0
92,GEG,DEN,24.422940035957996
93,SEA,IAH,38.939953775011084
94,DCA,IAH,24.149534156997728
95,SAT,DFW,6.324555320336759
96,JFK,MIA,26.484712571594958
97,BOS,PBI,29.372095601097314
98,BOS,JFK,8.485281374238571
99,DFW,ATL,20.86144769664848
100,CHS,EWR,16.0
101,MKE,DEN,27.62028240261131
102,MSP,DEN,19.332873557751316
103,CHS,DFW,27.200000000000003
104,DEN,LAX,24.37047393876451
105,SBA,DEN,25.298221281347036
106,SMX,LAX,6.708203932499369
107,BOS,BUF,14.0
108,PDX,EWR,57.91165685766554
109,IND,PHX,32.0199937539032
110,LAX,DEN,24.37047393876451
111,CLE,IAH,29.50254226333724
112,BOS,EWR,7.211102550927978
113,DEN,PHX,16.0
114,MCI,PHX,30.357865537616444
115,AUS,DFW,6.0
116,LAX,DFW,25.228555249954365
117,GSP,ATL,6.708203932499369
118,MCO,EWR,22.22791038311969
119,MCI,IAH,16.079800993793423
120,BDL,IAD,11.661903789690601
121,ABI,DFW,6.0
122,RIC,IAH,31.516344965747535
123,BFL,DEN,24.83867951401604
124,SAT,SFO,30.35786553761644
125,OMA,IAH,19.200000000000003
126,RDM,DEN,28.35207223467096
127,FLL,BDL,27.200000000000003
128,CID,ATL,17.00823330037544
129,MCO,LAX,44.80357128622673
130,TPA,EWR,24.422940035957996
131,SEA,DFW,34.9857113690718
132,BOS,DFW,33.42813186524189
133,SYR,JFK,8.48528137423857
134,ROC,JFK,10.0
135,TYR,DFW,6.0
136,MCI,ORD,14.560219778561036
137,LAN,ORD,6.324555320336759
138,BUF,EWR,8.94427190999916
139,XNA,DFW,10.0
140,GSO,EWR,12.806248474865697
141,ORD,LGA,22.45707015618912
142,EWR,MIA,25.848791074245618
143,ONT,DEN,22.285421243494593
144,PBI,IAH,24.47529366524537
145,PHX,IAH,27.94279871451677
146,RSW,IAH,22.908513701242168
147,EWR,MCO,22.22791038311969
148,OMA,ORD,16.0
149,SMF,PHX,16.473008225579203
150,OAK,PHX,17.232527382830412
151,PVD,CLT,17.30664612222715
152,RNO,DEN,24.0
153,PIT,IAH,29.76172038038124
154,DEN,IAH,21.525798475317938
155,LAS,BWI,46.93825731745907
156,ABQ,HOU,20.04794253782667
157,PHX,SLC,14.142135623730951
158,PIT,FLL,22.400000000000002
159,PVD,BWI,10.770329614269007
160,SFO,ATL,45.851935618902715
161,SFO,ORD,42.27339588914048
162,PDX,IAH,37.66165158354052
163,BOS,ORD,25.649951267010238
164,SFO,LAX,11.313708498984761
165,SAT,LAX,24.475293665245363
166,BOS,LAX,57.42473334722591
167,SEA,EWR,58.20927761104753
168,LAX,ORD,38.41874542459709
169,IAH,PHX,27.94279871451677
170,MCO,PHX,37.6807643234582
171,SFO,PHX,17.232527382830412
172,DFW,MCO,26.38787600395303
173,MIA,PHL,23.78570999570961
174,SLC,DFW,25.799224794555357
175,DCA,DFW,25.05673562138532
176,MIA,DFW,29.415642097360376
177,BWI,MIA,23.29635164569766
178,DFW,LGA,30.35786553761644
179,LGA,DFW,30.35786553761644
180,DEN,ORD,27.387588429797905
181,MCI,DFW,15.231546211727817
182,MCO,DFW,26.38787600395303
183,TUL,DFW,8.94427190999916
184,LGA,MIA,26.484712571594958
185,LIT,DFW,10.770329614269007
186,MIA,LGA,26.484712571594958
187,PDX,DFW,33.81360672865289
188,TPA,DFW,25.298221281347036
189,SMF,DFW,29.68636050444715
190,MSY,MIA,17.232527382830412
191,OMA,DFW,18.439088914585774
192,OKC,DFW,6.0
193,FAI,ANC,7.211102550927978
194,SEA,SJC,16.079800993793423
195,SEA,OAK,16.0
196,PDX,SJC,16.1245154965971
197,LAX,SEA,23.29635164569766
198,PHX,SEA,27.527440854536408
199,DEN,SEA,31.516344965747535
200,RSW,JFK,25.799224794555357
201,PBI,JFK,25.043961347997648
202,JFK,PBI,25.043961347997648
203,TPA,JFK,25.298221281347036
204,FLL,LGA,25.043961347997648
205,OAK,LGB,11.313708498984761
206,LGA,FLL,25.043961347997648
207,JFK,MCO,23.075528162969533
208,EWR,FLL,24.37047393876451
209,JFK,TPA,25.298221281347036
210,MSY,JFK,24.298148077579903
