,FLIGHT_NUMBER,TAIL_NUMBER
76,4685,N26545
77,5583,N882AS
81,5187,N720EV
87,5764,N832AS
98,4557,N12967
99,5241,N849AS
109,3268,N14998
110,4160,N11150
125,4646,N29917
145,4555,N13133
146,5698,N835AS
148,4339,N14179
154,5230,N181PQ
162,2519,N905EV
163,3928,N11140
165,5976,N27200
167,5677,N12563
281,2533,N906EV
282,4213,N17560
283,4431,N14158
284,4411,N14568
285,4756,N13908
286,4768,N16987
287,4740,N11107
288,5103,N846AS
289,5275,N861AS
290,5491,N838AS
291,5978,N21129
292,5917,N13997
293,6133,N12996
294,6082,N12122
295,6122,N16559
296,6143,N12921
373,4390,N15986
374,5732,N833AS
402,4642,N14143
403,4928,N933EV
447,4556,N41104
448,6071,N14186
456,4506,N12552
484,2522,N879AS
485,2512,N901EV
486,2572,N876AS
487,4531,N14204
489,5123,N847AS
532,4468,N14125
570,5221,N921EV
616,2549,N909EV
617,3261,N13123
618,3929,N13118
619,4306,N13970
688,2506,N904EV
689,2555,N830AS
690,2561,N877AS
691,2537,N902EV
736,6042,N21144
778,6175,N13124
816,3924,N14960
942,4513,N14950
943,4524,N14974
944,4871,N878AS
945,4987,N710EV
946,5423,N724EV
947,5755,N834AS
980,4221,N14570
981,6159,N48901
1023,2539,N880AS
1032,4197,N13964
1059,5920,N13992
1066,4510,N15985
1115,4134,N26549
1116,4614,N11548
1117,5242,N707EV
1131,4456,N14972
1171,5347,N761ND
1172,5466,N730EV
1183,6036,N11187
1216,2502,N903EV
1233,4709,N14514
1234,5908,N12136
1236,5330,N741EV
1280,3259,N14562
1282,4883,N916EV
1347,2567,N901EV
1348,4250,N12166
1354,4183,N14173
1399,3952,N14188
1404,4498,N12996
1446,4691,N16919
1447,5565,N748EV
1448,5961,N15983
1449,6019,N15574
1450,6144,N13969
1459,4258,N16571
1487,4287,N16918
1499,4424,N13161
1525,4682,N12924
1529,5787,N13538
1537,5700,N827AS
1544,4389,N14916
1658,5086,N759EV
1659,6070,N17115
1660,6120,N11565
1661,6016,N11199
1662,6073,N11119
1676,4316,N13965
1698,6058,N14180
1758,6171,N34110
1799,4401,N16559
1800,4722,N15912
1801,4948,N709EV
1802,5276,N134EV
1803,5477,N600QX
1804,5537,N713EV
1805,5936,N11181
1827,4158,N11107
1881,5995,N16976
1882,6188,N11551
1898,4111,N15910
1899,5688,N833AS
1937,6146,N14998
1938,6183,N14168
1956,4198,N13988
2057,2548,N905EV
2058,5288,N744EV
2059,5589,N882AS
2080,6184,N25134
2086,4471,N11113
2139,4701,N11150
2147,5555,N837AS
2192,5283,N900EV
2193,6149,N15980
2266,3940,N13908
2267,4723,N11184
2268,5192,N615QX
2334,4284,N13124
2335,5077,N197PQ
2336,6077,N12172
2343,5407,N921EV
2344,5608,N611QX
2353,4523,N14558
2354,4410,N12967
2389,5102,N980EV
2404,4918,N849AS
2409,4698,N12160
2494,4107,N14974
2495,4232,N17169
2497,4936,N738EV
2498,5681,N12163
2499,5419,N153PQ
2500,5582,N758EV
2501,5543,N860AS
2502,6150,N11165
2520,5259,N740EV
2524,4463,N14125
2525,4524,N13133
2527,4586,N14960
2528,4958,N843AS
2531,5023,N846AS
2535,4650,N26545
2574,4606,N19966
2575,5143,N847AS
2579,4342,N13913
2585,4277,N15527
2586,4496,N15572
2587,5541,N838AS
2588,5919,N16999
2592,4392,N17108
2593,4505,N14570
2594,4236,N29906
2596,5234,N884AS
2640,4306,N17524
2641,4591,N16525
2642,5382,N724EV
2654,4293,N15555
2660,3264,N14993
2661,4109,N14514
2662,5664,N24103
2710,5338,N133EV
2724,4345,N28529
2730,3273,N16183
2769,2532,N904EV
2770,4932,N608QX
2771,5049,N761ND
2828,5377,N710EV
