,FLIGHT_NUMBER,schedule_id,status
76,4685,1,
77,5583,2,
81,5187,3,
87,5764,4,
98,4557,5,
99,5241,6,
109,3268,7,
110,4160,8,
125,4646,9,
145,4555,10,
146,5698,11,
148,4339,12,
154,5230,13,
162,2519,14,
163,3928,15,
165,5976,16,
167,5677,17,
281,2533,18,
282,4213,19,
283,4431,20,
284,4411,21,
285,4756,22,
286,4768,23,
287,4740,24,
288,5103,25,
289,5275,26,
290,5491,27,
291,5978,28,
292,5917,29,
293,6133,30,
294,6082,31,
295,6122,32,
296,6143,33,
373,4390,34,
374,5732,35,
402,4642,36,
403,4928,37,
447,4556,38,
448,6071,39,
456,4506,40,
484,2522,41,
485,2512,42,
486,2572,43,
487,4531,44,
489,5123,45,
532,4468,46,
570,5221,47,
616,2549,48,
617,3261,49,
618,3929,50,
619,4306,51,
634,5764,52,
688,2506,53,
689,2555,54,
690,2561,55,
691,2537,56,
736,6042,57,
778,6175,58,
816,3924,59,
942,4513,60,
943,4524,61,
944,4871,62,
945,4987,63,
946,5423,64,
947,5755,65,
980,4221,66,
981,6159,67,
1023,2539,68,
1032,4197,69,
1059,5920,70,
1066,4510,71,
1115,4134,72,
1116,4614,73,
1117,5242,74,
1131,4456,75,
1171,5347,76,
1172,5466,77,
1183,6036,78,
1216,2502,79,
1218,2572,80,
1233,4709,81,
1234,5908,82,
1236,5330,83,
1280,3259,84,
1282,4883,85,
1347,2567,86,
1348,4250,87,
1354,4183,88,
1399,3952,89,
1404,4498,90,
1446,4691,91,
1447,5565,92,
1448,5961,93,
1449,6019,94,
1450,6144,95,
1459,4258,96,
1487,4287,97,
1499,4424,98,
1525,4682,99,
1529,5787,100,
1537,5700,101,
1544,4389,102,
1658,5086,103,
1659,6070,104,
1660,6120,105,
1661,6016,106,
1662,6073,107,
1676,4316,108,
1698,6058,109,
1758,6171,110,
1799,4401,111,
1800,4722,112,
1801,4948,113,
1802,5276,114,
1803,5477,115,
1804,5537,116,
1805,5936,117,
1827,4158,118,
1830,3261,119,
1881,5995,120,
1882,6188,121,
1898,4111,122,
1899,5688,123,
1937,6146,124,
1938,6183,125,
1952,5698,126,
1956,4198,127,
2057,2548,128,
2058,5288,129,
2059,5589,130,
2080,6184,131,
2086,4471,132,
2139,4701,133,
2147,5555,134,
2192,5283,135,
2193,6149,136,
2266,3940,137,
2267,4723,138,
2268,5192,139,
2334,4284,140,
2335,5077,141,
2336,6077,142,
2343,5407,143,
2344,5608,144,
2353,4523,145,
2354,4410,146,
2389,5102,147,
2404,4918,148,
2409,4698,149,
2494,4107,150,
2495,4232,151,
2497,4936,152,
2498,5681,153,
2499,5419,154,
2500,5582,155,
2501,5543,156,
2502,6150,157,
2520,5259,158,
2524,4463,159,
2525,4524,160,
2527,4586,161,
2528,4958,162,
2531,5023,163,
2535,4650,164,
2574,4606,165,
2575,5143,166,
2579,4342,167,
2585,4277,168,
2586,4496,169,
2587,5541,170,
2588,5919,171,
2592,4392,172,
2593,4505,173,
2594,4236,174,
2596,5234,175,
2640,4306,176,
2641,4591,177,
2642,5382,178,
2654,4293,179,
2660,3264,180,
2661,4109,181,
2662,5664,182,
2710,5338,183,
2711,5589,184,
2724,4345,185,
2730,3273,186,
2769,2532,187,
2770,4932,188,
2771,5049,189,
2828,5377,190,
2841,4940,191,
2842,5234,192,
2904,4187,193,
2922,4891,194,
2965,5797,195,
2974,5996,196,
2982,6001,197,
3031,5685,198,
3046,4965,199,
3050,4246,200,
3097,4126,201,
3098,4528,202,
3099,4756,203,
3100,6122,204,
3117,4525,205,
3125,4754,206,
3129,4390,207,
3178,4535,208,
3179,5470,209,
3180,5387,210,
3200,4947,211,
3205,5069,212,
3207,5211,213,
3253,4723,214,
3254,4860,215,
3255,5484,216,
3256,6066,217,
3267,4896,218,
3268,6120,219,
3279,5988,220,
3291,5338,221,
3351,4497,222,
3352,5255,223,
3354,5451,224,
3355,5389,225,
3356,5942,226,
3384,4351,227,
3385,4317,228,
3434,4714,229,
3435,5317,230,
3436,5726,231,
3450,4323,232,
3455,6184,233,
3508,2527,234,
3510,2509,235,
3511,4722,236,
3512,5771,237,
3513,5904,238,
3514,5694,239,
3530,6015,240,
3533,4388,241,
3535,5597,242,
3588,2548,243,
3590,4201,244,
3591,4574,245,
3592,4717,246,
3594,4865,247,
3607,5789,248,
3621,3266,249,
3622,4664,250,
3626,4476,251,
3627,6099,252,
3676,4587,253,
3677,4997,254,
3678,6152,255,
3694,4490,256,
3695,4542,257,
3696,4634,258,
3699,4192,259,
3700,4307,260,
3728,5343,261,
3729,5660,262,
3730,5978,263,
3731,6159,264,
3739,5107,265,
3749,5165,266,
3750,6038,267,
3751,5677,268,
3759,5063,269,
3810,4708,270,
3821,3920,271,
3825,4728,272,
3826,5541,273,
3870,4615,274,
3871,5358,275,
3883,4711,276,
3887,3965,277,
3889,4199,278,
3930,4378,279,
3931,5069,280,
3949,5903,281,
3955,4174,282,
3963,4415,283,
4012,4495,284,
4017,4409,285,
4018,4671,286,
4020,5783,287,
4024,5792,288,
4029,5175,289,
4074,2532,290,
4075,5082,291,
4076,5143,292,
4077,5691,293,
4092,4609,294,
4093,5113,295,
4096,5163,296,
4100,4730,297,
4106,4502,298,
4151,4372,299,
4153,5489,300,
4154,6073,301,
