,ord_airport,dest_airport,depart_time,arr_time,day
0,SHV,IAH,527.0,634.0,1
1,SHV,ATL,547.0,812.0,1
2,SHV,DFW,700.0,806.0,1
3,SHV,DFW,741.0,846.0,1
4,SHV,ATL,756.0,1022.0,1
5,SHV,DEN,857.0,1024.0,1
6,SHV,DFW,1218.0,1342.0,1
7,SHV,IAH,1358.0,1509.0,1
8,SHV,ATL,1413.0,1648.0,1
9,SHV,IAH,1433.0,1539.0,1
10,SHV,IAH,1749.0,1854.0,1
11,SHV,DFW,1817.0,1910.0,1
12,SHV,IAH,549.0,643.0,2
13,SHV,ATL,544.0,808.0,2
14,SHV,DFW,638.0,737.0,2
15,SHV,ATL,653.0,925.0,2
16,SHV,IAH,658.0,756.0,2
17,SHV,DFW,741.0,846.0,2
18,SHV,ATL,904.0,1140.0,2
19,SHV,DEN,856.0,1019.0,2
20,SHV,DFW,1217.0,1313.0,2
21,SHV,IAH,1347.0,1447.0,2
22,SHV,ATL,1417.0,1649.0,2
23,SHV,IAH,1457.0,1554.0,2
24,SHV,ATL,1658.0,1930.0,2
25,SHV,IAH,1656.0,1756.0,2
26,SHV,DFW,1851.0,2003.0,2
27,SHV,IAH,517.0,610.0,3
28,SHV,ATL,540.0,811.0,3
29,SHV,DFW,633.0,729.0,3
30,SHV,ATL,655.0,919.0,3
31,SHV,IAH,657.0,748.0,3
32,SHV,DFW,740.0,854.0,3
33,SHV,ATL,756.0,1027.0,3
34,SHV,DEN,853.0,1028.0,3
35,SHV,DFW,1209.0,1314.0,3
36,SHV,IAH,1344.0,1450.0,3
37,SHV,ATL,1413.0,1638.0,3
38,SHV,IAH,1458.0,1558.0,3
39,SHV,IAH,1648.0,1744.0,3
40,SHV,ATL,1706.0,1925.0,3
41,SHV,DFW,1837.0,1928.0,3
42,SHV,IAH,514.0,606.0,4
43,SHV,ATL,555.0,834.0,4
44,SHV,DFW,631.0,733.0,4
45,SHV,ATL,656.0,931.0,4
46,SHV,IAH,659.0,803.0,4
47,SHV,DFW,745.0,849.0,4
48,SHV,ATL,753.0,1023.0,4
