,ord_airport,dest_airport,depart_time,arr_time,day
0,BTR,ATL,7:27,9:57,2023-02-2
1,BTR,ATL,8:28,10:46,2023-02-2
2,BTR,IAH,16:49,18:01,2023-02-2
3,BTR,DFW,17:47,19:19,2023-02-2
4,BTR,IAH,11:39,13:04,2023-02-2
5,BTR,IAH,18:56,19:58,2023-02-2
6,BTR,IAH,5:23,6:34,2023-02-2
7,BTR,ATL,5:28,7:45,2023-02-2
8,BTR,ATL,6:23,8:45,2023-02-2
9,BTR,ATL,15:12,17:24,2023-02-2
10,BTR,IAH,14:14,15:16,2023-02-2
11,BTR,ATL,10:10,12:30,2023-02-2
12,BTR,DFW,6:48,8:17,2023-02-2
13,BTR,IAH,6:50,8:05,2023-02-2
14,BTR,IAH,9:10,10:15,2023-02-2
15,BTR,IAH,14:28,15:35,2023-02-3
16,BTR,IAH,11:37,13:10,2023-02-3
17,BTR,ATL,17:09,19:32,2023-02-3
18,BTR,IAH,6:54,8:09,2023-02-3
19,BTR,DFW,10:35,12:04,2023-02-3
20,BTR,ATL,15:00,17:14,2023-02-3
21,BTR,ATL,7:25,9:52,2023-02-3
22,BTR,ATL,10:00,12:20,2023-02-3
23,BTR,IAH,5:18,6:34,2023-02-3
24,BTR,DFW,6:43,8:23,2023-02-3
25,BTR,ATL,6:27,8:57,2023-02-3
26,BTR,IAH,19:00,20:06,2023-02-3
27,BTR,ATL,9:06,11:24,2023-02-3
28,BTR,IAH,16:53,18:07,2023-02-3
29,BTR,DFW,18:31,19:56,2023-02-3
30,BTR,IAH,5:20,6:26,2023-02-4
31,BTR,ATL,7:51,10:11,2023-02-4
32,BTR,ATL,14:59,17:18,2023-02-4
33,BTR,IAH,11:40,12:56,2023-02-4
34,BTR,DFW,8:59,10:18,2023-02-4
35,BTR,ATL,17:16,19:49,2023-02-4
36,BTR,IAH,17:03,18:15,2023-02-4
37,BTR,IAH,14:15,15:28,2023-02-4
38,BTR,ATL,10:14,12:39,2023-02-4
39,BTR,ATL,5:26,7:49,2023-02-4
40,BTR,IAH,7:01,8:21,2023-02-4
41,BTR,DFW,17:48,19:14,2023-02-4
42,BTR,IAH,18:59,20:06,2023-02-4
43,BTR,ATL,6:26,8:48,2023-02-4
44,BTR,ATL,9:47,12:05,2023-02-4
45,BTR,ATL,17:22,20:04,2023-02-5
46,BTR,ATL,8:41,11:13,2023-02-5
47,BTR,IAH,11:35,12:47,2023-02-5
48,BTR,ATL,8:02,10:24,2023-02-5
49,BTR,ATL,6:43,9:06,2023-02-5
50,BTR,IAH,17:05,18:35,2023-02-5
51,BTR,IAH,18:59,20:09,2023-02-5
52,BTR,ATL,15:08,17:31,2023-02-5
53,BTR,DFW,12:08,13:33,2023-02-5
54,BTR,DFW,18:01,19:26,2023-02-5
55,BTR,IAH,5:21,6:20,2023-02-5
56,BTR,ATL,5:26,7:44,2023-02-5
57,BTR,IAH,9:14,10:26,2023-02-5
58,BTR,DFW,6:37,8:03,2023-02-5
59,BTR,IAH,6:55,8:10,2023-02-5
60,BTR,DFW,11:00,12:26,2023-02-6
61,BTR,IAH,16:55,18:15,2023-02-6
62,BTR,ATL,5:26,7:49,2023-02-6
63,BTR,DFW,6:38,8:16,2023-02-6
64,BTR,IAH,14:17,15:33,2023-02-6
65,BTR,ATL,8:35,11:17,2023-02-6
66,BTR,DFW,17:57,19:27,2023-02-6
67,BTR,ATL,7:22,10:04,2023-02-6
68,BTR,IAH,6:51,8:09,2023-02-6
69,BTR,IAH,18:59,20:08,2023-02-6
70,BTR,ATL,6:23,9:09,2023-02-6
71,BTR,IAH,9:08,10:20,2023-02-6
72,BTR,ATL,10:49,13:10,2023-02-6
73,BTR,IAH,11:38,12:48,2023-02-6
74,BTR,ATL,15:11,17:32,2023-02-6
75,BTR,ATL,5:26,7:50,2023-02-8
76,BTR,DFW,6:43,8:37,2023-02-8
77,BTR,ATL,14:44,17:05,2023-02-8
78,BTR,DFW,10:47,12:07,2023-02-8
79,BTR,ATL,17:09,19:36,2023-02-8
80,BTR,ATL,8:30,11:06,2023-02-8
