,date,schedule_id,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_TIME,ARRIVAL_TIME
76,2023-01-1,1,BRO,IAH,5:17,6:29
77,2023-01-1,2,VPS,ATL,5:14,7:11
81,2023-01-1,3,BNA,ATL,5:25,7:35
87,2023-01-1,4,SBN,ORD,5:27,5:11
98,2023-01-1,5,CRP,IAH,5:23,6:15
99,2023-01-1,6,PIA,DTW,5:30,7:45
109,2023-01-1,7,ATL,IAD,5:56,7:39
110,2023-01-1,8,JAX,EWR,5:31,7:43
125,2023-01-1,9,CHS,EWR,5:40,7:42
145,2023-01-1,10,MCI,IAH,5:48,8:06
146,2023-01-1,11,BDL,IAD,5:43,6:59
148,2023-01-1,12,RIC,IAH,5:48,8:28
154,2023-01-1,13,CID,ATL,5:54,8:48
162,2023-01-1,14,TYR,DFW,5:46,6:36
163,2023-01-1,15,MCI,ORD,5:54,7:17
165,2023-01-1,16,BUF,EWR,9:28,11:01
167,2023-01-1,17,GSO,EWR,5:38,7:08
281,2023-01-1,18,TYS,DFW,5:59,7:45
282,2023-01-1,19,MHT,ORD,5:55,7:49
283,2023-01-1,20,SAV,EWR,7:26,9:31
284,2023-01-1,21,MEM,EWR,5:52,9:18
285,2023-01-1,22,CLT,ORD,5:59,7:21
286,2023-01-1,23,TYS,IAD,5:53,7:23
287,2023-01-1,24,GRB,ORD,5:56,6:53
288,2023-01-1,25,ABE,DTW,5:52,7:33
289,2023-01-1,26,JAN,ATL,5:59,8:09
290,2023-01-1,27,OAJ,ATL,5:52,7:29
291,2023-01-1,28,FAR,ORD,6:03,8:03
292,2023-01-1,29,JAN,ORD,5:56,7:55
293,2023-01-1,30,ERI,ORD,6:16,6:51
294,2023-01-1,31,ATW,ORD,6:00,7:03
295,2023-01-1,32,LEX,ORD,5:56,6:19
296,2023-01-1,33,CWA,ORD,5:50,7:13
373,2023-01-1,34,CLE,IAD,5:58,7:24
374,2023-01-1,35,CAE,IAD,6:05,7:32
402,2023-01-1,36,TUS,IAH,6:13,9:46
403,2023-01-1,37,PIA,ATL,6:00,8:37
447,2023-01-1,38,VPS,IAH,6:07,8:06
448,2023-01-1,39,GUC,DEN,6:17,7:21
456,2023-01-1,40,MLU,IAH,6:41,7:53
484,2023-01-1,41,LAW,DFW,12:19,13:26
485,2023-01-1,42,BRO,DFW,6:04,7:26
486,2023-01-1,43,PIB,MEI,6:07,6:49
487,2023-01-1,44,CHS,IAH,6:23,8:43
489,2023-01-1,45,MGM,ATL,6:09,7:54
532,2023-01-1,46,CAE,IAH,6:21,8:25
570,2023-01-1,47,SCE,DTW,6:10,7:27
616,2023-01-1,48,BPT,DFW,6:30,7:41
617,2023-01-1,49,RIC,IAD,6:29,7:20
618,2023-01-1,50,EWR,JAX,6:30,8:56
619,2023-01-1,51,GPT,IAH,6:23,7:52
634,2023-01-1,52,ORD,IAD,6:27,9:07
688,2023-01-1,53,CRP,DFW,6:38,7:49
689,2023-01-1,54,SHV,DFW,6:56,7:59
690,2023-01-1,55,BTR,DFW,6:39,8:13
691,2023-01-1,56,MLU,DFW,6:43,7:50
736,2023-01-1,57,LNK,DEN,7:17,7:52
778,2023-01-1,58,BNA,ORD,6:44,8:35
816,2023-01-1,59,MFE,IAH,6:47,7:56
942,2023-01-1,60,CLE,ORD,6:57,7:22
943,2023-01-1,61,LFT,IAH,7:07,8:17
944,2023-01-1,62,SHV,ATL,7:04,9:45
945,2023-01-1,63,ROC,LGA,6:52,8:01
946,2023-01-1,64,CID,MSP,6:54,8:10
947,2023-01-1,65,PVD,ORD,6:58,8:59
980,2023-01-1,66,BTR,IAH,6:53,8:16
981,2023-01-1,67,BTV,ORD,7:03,8:42
1023,2023-01-1,68,FSD,DFW,7:13,9:51
1032,2023-01-1,69,SHV,IAH,7:06,8:18
1059,2023-01-1,70,TVC,ORD,7:09,7:27
1066,2023-01-1,71,RIC,EWR,7:08,8:27
1115,2023-01-1,72,MCI,IAH,7:08,9:21
1116,2023-01-1,73,IAH,CLT,7:13,10:21
1117,2023-01-1,74,CLE,LGA,9:59,11:14
1131,2023-01-1,75,CRP,IAH,7:09,8:03
1171,2023-01-1,76,CLE,MSP,7:28,8:28
1172,2023-01-1,77,IAH,DTW,7:10,10:37
1183,2023-01-1,78,ELP,DEN,7:13,9:00
1216,2023-01-1,79,RAP,DFW,7:54,11:57
1218,2023-01-1,80,MEI,DFW,7:24,9:02
1233,2023-01-1,81,IAH,GPT,7:20,8:29
1234,2023-01-1,82,DIK,DEN,7:19,9:12
1236,2023-01-1,83,BTV,LGA,7:23,8:27
1280,2023-01-1,84,HPN,ORD,7:28,9:17
1282,2023-01-1,85,CAE,ATL,7:23,8:30
1347,2023-01-1,86,SHV,DFW,9:45,10:45
1348,2023-01-1,87,IAH,IND,7:40,10:35
1354,2023-01-1,88,CLE,IAH,7:31,9:58
1399,2023-01-1,89,MCI,ORD,7:38,8:56
1404,2023-01-1,90,ORD,BTV,7:39,10:38
1446,2023-01-1,91,EWR,DAY,7:41,9:48
1447,2023-01-1,92,OKC,DTW,7:39,11:04
1448,2023-01-1,93,SCE,ORD,7:37,8:36
1449,2023-01-1,94,ELM,ORD,7:56,8:58
1450,2023-01-1,95,SYR,ORD,7:42,9:20
1459,2023-01-1,96,CLT,IAH,7:48,9:54
1487,2023-01-1,97,MOB,IAH,7:46,9:30
1499,2023-01-1,98,EWR,RDU,7:52,9:26
1525,2023-01-1,99,LIT,IAH,8:02,9:38
1529,2023-01-1,100,TUL,IAH,7:48,9:26
1537,2023-01-1,101,CAE,ORD,7:46,9:08
1544,2023-01-1,102,CLT,ORD,7:55,9:14
1658,2023-01-1,103,SAV,LGA,7:59,10:00
1659,2023-01-1,104,XNA,DEN,7:56,9:02
1660,2023-01-1,105,EWR,SYR,8:15,9:22
1661,2023-01-1,106,BNA,DEN,7:51,10:16
1662,2023-01-1,107,SAF,DEN,7:55,9:57
1676,2023-01-1,108,SAV,IAH,8:01,9:55
1698,2023-01-1,109,MCI,IAD,7:55,11:05
1758,2023-01-1,110,HDN,DEN,9:33,10:40
1799,2023-01-1,111,ORD,CHS,8:07,11:08
1800,2023-01-1,112,ROA,ORD,8:00,9:04
1801,2023-01-1,113,RIC,ATL,8:01,9:38
1802,2023-01-1,114,CHA,ATL,8:04,8:56
1803,2023-01-1,115,CLE,ATL,8:03,9:42
1804,2023-01-1,116,EYW,ATL,8:05,9:57
1805,2023-01-1,117,ISN,DEN,8:03,8:46
1827,2023-01-1,118,ORD,MSY,8:12,10:36
1830,2023-01-1,119,IAD,ATL,8:07,10:02
1881,2023-01-1,120,CAK,ORD,8:10,8:30
1882,2023-01-1,121,CRW,ORD,8:29,9:24
1898,2023-01-1,122,EWR,CHS,8:19,10:19
1899,2023-01-1,123,IAD,CLE,8:07,9:15
1937,2023-01-1,124,IAD,GSO,8:29,9:28
1938,2023-01-1,125,FSD,DEN,8:13,9:06
